id, headwear&1/1s, eyes, mouth, accessories, wearables, fur, background
0, Bald, Sleepy, Smile, Simple Day, Jersey, Teal, Wai
1, Pineapple, Sleepy, Smile, Lei, Au Naturel, Grey, Sunset
2, Mohawk, Sleepy, Smile, Lightning Bolt Earrings, Aloha Shirt, Teal, Papaya
3, Black Mullet, Fiesty, Tongue Out, Simple Day, Tank Top, Tan, Wave
4, UH Hat, Fiesty, Mustachio, Gold Chain, Faded Black Shirt, Pink, Straw
5, Bald, Fiesty, Rainbow Puke, Diamond Earrings, Au Naturel, Tan, Wai
6, Shave Ice, xx, Bone, Lei, Camo Tshirt, Pink, Morning Glow
7, Mullet, xx, Teeth Out, Lightning Bolt Earrings, Stripes, Tan, Papaya
8, Rainbow, xx, Smile, Simple Day, Suit, Silver, Palms
9, Fedora, Sports, Smile, Lei, Aloha Shirt, Tan, Straw
10, Bun, Sports, Tongue Out, Earrings, Camo Tshirt, Silver, Cruise Ship
11, Bald, Cobain, Tongue Out, Simple Day, Stripes, Deep Teal, Straw
12, Pineapple, Cobain, Mustachio, Gold Chain, Au Naturel, Grey, Wai
