index, dist, name, type, hide
0/0, 84, BANANA, image/png, false
0/1, 84, GOLDEN, image/png, false
0/2, 84, DIAMOND, image/png, false
0/3, 84, GOLD CROSS, image/png, false
0/4, 84, DIAMOND CROSS, image/png, false
1/0, 4, VR RAINBOW, image/png, false
1/1, 8, PURPLE EYE SHADOW, image/png, false
1/2, 19, CLOWN EYES BLUE, image/png, false
1/3, 29, CLASSIC SHADES, image/png, false
1/4, 35, NERD GLASSES, image/png, false
1/5, 51, 3D, image/png, false
1/6, 65, STUNNAS, image/png, false
1/7, 68, BIG SHADES, image/png, false
1/8, 69, VR, image/png, false
1/9, 72, CHOPPER, image/png, false
2/0, 208, SMOKER, image/png, false
2/1, 212, NON-SMOKER, image/png, false
3/0, 2, RAINBOW, image/png, false
3/1, 3, HAT 36, image/png, false
3/2, 3, PILOT, image/png, false
3/3, 3, HOODIE, image/png, false
3/4, 4, HAT 29, image/png, false
3/5, 4, BEANIE, image/png, false
3/6, 4, TASSLE, image/png, false
3/7, 5, HAT 12, image/png, false
3/8, 5, KNITTED CAP, image/png, false
3/9, 8, PINK CAP, image/png, false
3/10, 11, HAT 20, image/png, false
3/11, 11, HAT 2, image/png, false
3/12, 11, HEADBAND, image/png, false
3/13, 12, HAT 17, image/png, false
3/14, 14, HAT 1, image/png, false
3/15, 15, WILD BLONDE, image/png, false
3/16, 17, CAP, image/png, false
3/17, 20, HAT 8, image/png, false
3/18, 24, HAT 22, image/png, false
3/19, 24, WILD WHITE, image/png, false
3/20, 35, HAT 30, image/png, false
3/21, 37, HAT 26, image/png, false
3/22, 37, HAT 16, image/png, false
3/23, 55, HAT 10, image/png, false
3/24, 56, CHOPPER, image/png, false
4/0, 4, RAINBOW, image/png, false
4/1, 5, OCK, image/png, false
4/2, 10, ZOMBIE, image/png, false
4/3, 11, GOLD, image/png, false
4/4, 16, ALI3N, image/png, false
4/5, 21, ALIEN, image/png, false
4/6, 22, ATOMIC, image/png, false
4/7, 28, ZOMBI3, image/png, false
4/8, 34, AQUA, image/png, false
4/9, 35, MIDNIGHT, image/png, false
4/10, 38, PORCELAIN, image/png, false
4/11, 40, COFFEE, image/png, false
4/12, 45, AP3, image/png, false
4/13, 111, CHOPP3R , image/png, false
5/0, 70, PURPLE, image/png, false
5/1, 70, MINT, image/png, false
5/2, 70, PEACH, image/png, false
5/3, 70, BLUE, image/png, false
5/4, 70, GOLD, image/png, false
5/5, 70, BLACK, image/png, false
