index, name, type, hide
0/0, Accessory Body Gradient Dawn, image/png, false
0/1, Accessory Body Gradient Checkerdisco, image/png, false
0/2, Accessory Bling Scissors, image/png, false
0/3, Accessory Bling Sparkles, image/png, false
0/4, Accessory Bling Rings, image/png, false
0/5, Accessory Bling Mask, image/png, false
0/6, Accessory Bling Love, image/png, false
0/7, Accessory Bling Gold Ingot, image/png, false
0/8, Accessory Bling Cheese, image/png, false
0/9, Accessory Bling Arrow, image/png, false
0/10, Accessory Bling Anchor, image/png, false
0/11, Accessory Bling Anvil, image/png, false
0/12, Accessory Bird Side, image/png, false
0/13, Accessory Bird Flying, image/png, false
0/14, Accessory Belly Chameleon, image/png, false
0/15, Accessory Axe, image/png, false
0/16, Accessory Decay Pride, image/png, false
0/17, Accessory Aardvark, image/png, false
0/18, Accessory 1 N, image/png, false
0/19, Accessory Cow, image/png, false
0/20, Accessory Decay Gray Dark, image/png, false
0/21, Accessory Collar Sunset, image/png, false
0/22, Accessory Clover, image/png, false
0/23, Accessory Cloud, image/png, false
0/24, Accessory Chicken, image/png, false
0/25, Accessory Checkers Magenta 80, image/png, false
0/26, Accessory Checkers Blue, image/png, false
0/27, Accessory Checkers Black, image/png, false
0/28, Accessory Checkers Big Green, image/png, false
0/29, Accessory Checkers Big Red Cold, image/png, false
0/30, Accessory Checker Spaced White, image/png, false
0/31, Accessory Checker Vibrant, image/png, false
0/32, Accessory Checker Spaced Black, image/png, false
0/33, Accessory Checker RGB, image/png, false
0/34, Accessory Checker Bigwalk Rainbow, image/png, false
0/35, Accessory Checker Bigwalk Greylight, image/png, false
0/36, Accessory Checker Bigwalk Blue Prime, image/png, false
0/37, Accessory Chain Logo, image/png, false
0/38, Accessory Carrot, image/png, false
0/39, Accessory Body Gradient Sunset, image/png, false
0/40, Accessory Body Gradient Redpink, image/png, false
0/41, Accessory Body Gradient Pride, image/png, false
0/42, Accessory Body Gradient Ice, image/png, false
0/43, Accessory Body Gradient Glacier, image/png, false
0/44, Accessory Body Gradient Dusk, image/png, false
1/0, Glasses Square Watermelon, image/png, false
1/1, Glasses Square Yellow Orange Multi, image/png, false
1/2, Glasses Square Pink Purple Multi, image/png, false
1/3, Glasses Square Teal, image/png, false
1/4, Glasses Square Smoke, image/png, false
1/5, Glasses Square Red, image/png, false
1/6, Glasses Square Orange, image/png, false
1/7, Glasses Square Yellow Saturated, image/png, false
1/8, Glasses Square Magenta, image/png, false
1/9, Glasses Square Honey, image/png, false
1/10, Glasses Square Guava, image/png, false
1/11, Glasses Square Grey Light, image/png, false
1/12, Glasses Square Green Blue Multi, image/png, false
1/13, Glasses Square Fullblack, image/png, false
1/14, Glasses Hip Rose, image/png, false
1/15, Glasses Square Frog Green, image/png, false
1/16, Glasses Square Blue, image/png, false
1/17, Glasses Square Blue Med Saturated, image/png, false
1/18, Glasses Square Black, image/png, false
1/19, Glasses Square Black Rgb, image/png, false
1/20, Glasses Square Black Eyes Red, image/png, false
2/0, Head Cherry, image/png, false
3/0, Body Gold, image/png, false
3/1, Body Cold, image/png, false
3/2, Body Red, image/png, false
3/3, Body Peachy A, image/png, false
3/4, Body Bege Bsod, image/png, false
3/5, Body Blue Sky, image/png, false
3/6, Body Bluegrey, image/png, false
3/7, Body Bege Crt, image/png, false
3/8, Body Computerblue, image/png, false
3/9, Body Darkbrown, image/png, false
3/10, Body Darkpink, image/png, false
3/11, Body Foggrey, image/png, false
3/12, Body Redpinkish, image/png, false
3/13, Body Green, image/png, false
3/14, Body Magenta, image/png, false
3/15, Body Orange Yellow, image/png, false
3/16, Body Peachy B, image/png, false
3/17, Body Orange, image/png, false
3/18, Body Purple, image/png, false
3/19, Body Rust, image/png, false
3/20, Body Slimegreen, image/png, false
3/21, Body Teal Light, image/png, false
3/22, Body Teal, image/png, false
3/23, Body Yellow, image/png, false
3/24, Body Grayscale 1, image/png, false
3/25, Body Grayscale 7, image/png, false
3/26, Body Grayscale 9, image/png, false
3/27, Body Grayscale 8, image/png, false
3/28, Body Gunk, image/png, false
3/29, Body Hotbrown, image/png, false
4/0, Background 05, image/png, false
4/1, Background 01, image/png, false
4/2, Background 02, image/png, false
4/3, Background 03, image/png, false
4/4, Background 04 , image/png, false
4/5, Background 06, image/png, false
4/6, Background 07, image/png, false
4/7, Background 08, image/png, false
4/8, Background 09, image/png, false
4/9, Background 10, image/png, false
4/10, Background 11, image/png, false
4/11, Background 12, image/png, false
4/12, Background 13, image/png, false
4/13, Background 14, image/png, false
4/14, Background 15, image/png, false
